location_key,life_expectancy
US_AK,78.0
US_AL,75.1
US_AR,75.6
US_AZ,78.7
US_CA,80.8
US_CO,80.0
US_CT,80.4
US_DE,77.8
US_FL,78.9
US_GA,77.2
US_GU,79.575
US_HI,81.0
US_IA,79.2
US_ID,79.0
US_IL,78.8
US_IN,76.8
US_KS,78.0
US_KY,75.3
US_LA,75.6
US_MA,80.1
US_MD,78.5
US_ME,78.6
US_MI,77.7
US_MN,80.5
US_MO,76.6
US_MS,74.6
US_MT,78.7
US_NC,77.6
US_ND,79.3
US_NE,79.1
US_NH,79.1
US_NJ,79.8
US_NM,77.2
US_NV,77.9
US_NY,80.5
US_OH,76.8
US_OK,75.6
US_OR,79.7
US_PA,78.1
US_PR,79.78832
US_RI,79.8
US_SC,76.5
US_SD,78.9
US_TN,75.5
US_TX,78.4
US_UT,79.6
US_VA,79.0
US_VI,79.26829000000001
US_VT,79.3
US_WA,80.0
US_WI,79.3
US_WV,74.4
US_WY,78.1
